DATAFLOW,LAST UPDATE,freq,direct,tra_cov,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2017-Q1,63102,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2017-Q2,66078,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2017-Q3,64157,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2017-Q4,64400,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2018-Q1,66962,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2018-Q2,69354,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2018-Q3,67141,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2018-Q4,66661,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2019-Q1,65728,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2019-Q2,73342,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2019-Q3,68348,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2019-Q4,70337,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2020-Q1,71675,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2020-Q2,63733,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2020-Q3,64607,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2020-Q4,68641,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2021-Q1,70697,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2021-Q2,74396,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2021-Q3,70107,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2021-Q4,73008,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2022-Q1,72991,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2022-Q2,76130,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2022-Q3,69633,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2022-Q4,69476,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE,2023-Q1,70078,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2017-Q1,49224,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2017-Q2,51235,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2017-Q3,50245,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2017-Q4,50497,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2018-Q1,52843,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2018-Q2,54467,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2018-Q3,52291,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2018-Q4,52410,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2019-Q1,51251,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2019-Q2,56650,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2019-Q3,52996,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2019-Q4,53133,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2020-Q1,52864,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2020-Q2,49225,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2020-Q3,50911,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2020-Q4,53319,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2021-Q1,52920,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2021-Q2,55076,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2021-Q3,53474,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEANR,2021-Q4,54382,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2017-Q1,8464,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2017-Q2,8796,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2017-Q3,8112,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2017-Q4,8338,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2018-Q1,8653,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2018-Q2,8662,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2018-Q3,8341,
ESTAT:MAR_GO_QM(1.0),12/10/23 23:00:00,Q,TOTAL,TOTAL,THS_T,BE_0BEGNE,2018-Q4,8014,
