,Geo,Time_period,Passengers_count,Norm_2019
4,BE,2018-Q1,112000,57.7319587628866
5,BE,2018-Q2,164000,84.5360824742268
6,BE,2018-Q3,204000,105.15463917525773
7,BE,2018-Q4,172000,88.65979381443299
8,BE,2019-Q1,104000,53.608247422680414
9,BE,2019-Q2,152000,78.35051546391753
10,BE,2019-Q3,194000,100.0
11,BE,2019-Q4,164000,84.5360824742268
12,BE,2020-Q1,64000,32.98969072164948
13,BE,2020-Q2,2000,1.0309278350515463
14,BE,2020-Q3,6000,3.0927835051546393
15,BE,2020-Q4,6000,3.0927835051546393
16,BE,2021-Q1,0,0.0
17,BE,2021-Q2,2000,1.0309278350515463
18,BE,2021-Q3,2000,1.0309278350515463
19,BE,2021-Q4,2000,1.0309278350515463
20,BE,2022-Q1,2000,1.0309278350515463
21,BE,2022-Q2,2000,1.0309278350515463
22,BE,2022-Q3,2000,1.0309278350515463
23,BE,2022-Q4,2000,1.0309278350515463
24,BE,2023-Q1,4000,2.0618556701030926
25,BE,2023-Q2,0,0.0
30,DE,2018-Q1,5609000,37.323662496672874
31,DE,2018-Q2,11819000,78.64652648389672
32,DE,2018-Q3,16274000,108.29118977907905
33,DE,2018-Q4,6774000,45.075858397657704
34,DE,2019-Q1,5566000,37.037529944104335
35,DE,2019-Q2,12372000,82.3263241948363
36,DE,2019-Q3,15028000,100.0
37,DE,2019-Q4,7358000,48.96193771626297
38,DE,2020-Q1,4445000,29.57812084109662
39,DE,2020-Q2,3033000,20.182326324194836
40,DE,2020-Q3,9808000,65.26483896726111
41,DE,2020-Q4,3782000,25.166356135214265
42,DE,2021-Q1,1652000,10.992813414958743
43,DE,2021-Q2,4412000,29.358530742613787
44,DE,2021-Q3,12516000,83.28453553367048
45,DE,2021-Q4,6174000,41.08331115251531
46,DE,2022-Q1,4259000,28.340431195102475
47,DE,2022-Q2,10757000,71.57971785999467
48,DE,2022-Q3,14365000,95.58823529411765
49,DE,2022-Q4,6447000,42.8999201490551
50,DE,2023-Q1,4807000,31.9869576789992
51,DE,2023-Q2,0,0.0
56,DK,2018-Q1,10745000,45.96004961717781
